Lp.;Nr RSPO;woj;pow;gm;Województwo;Powiat;Gmina;Typ gminy;Miejscowość;Klasa wielk.;Typ;Nazwa typu;Złożoność;Nazwa szkoły, placówki;Patron;Ulica;Nr domu;Kod poczt.;Poczta;Telefon;Fax;WWW;Publiczność;Kateg. uczniów;Spec. szkoły;Związ. organiz.;Kod org. prowadz.;Nazwa organu prowadzącego;woj. org. prow.;pow. org. prow.;gmina org. prow.;typ gminy;Kod;Nazwa organu rejestrującego;woj. org. rejesr.;pow. org. rejestr;gmina org. rejestr.;Regon;Uczniowie, wychow., słuchacze;w tym dziewczęta;w tym w oddziałach przedszk.;w tym w oddziałach innego typu;Oddziały;Nauczyciele pełnozatrudnieni;Nauczyciele niepełnozatrudnieni (stos.pracy);Nauczyciele niepełnozatrudnieni (w etatach);e-mail;Nr RSPO jednostki sprawozdawczej;Regon jednostki sprawozdawczej;Lon;Lat
12666;264891;2;1;1;WOJ. DOLNOŚLĄSKIE;Powiat bolesławiecki;Bolesławiec;M;Bolesławiec;2;3;Szkoła podstawowa;1;Prywatna Szkoła Podstawowa dla Dorosłych w Bolesławcu;;Marcina Opitza;11;59-700;Bolesławiec;757327960;;www.aurelus.edu.pl;2;2;100;100;33;Marzanna Izabela Słotwińska;2;1;1;M;1;Gmina Bolesławiec (miejska);2;1;1;3,68E+13;0;0;0;0;0;1;1;0,22;kontakt@aurelus.edu.pl;264891;3,68E+13;15.567162826263445;51.25853285
12667;31229;2;1;1;WOJ. DOLNOŚLĄSKIE;Powiat bolesławiecki;Bolesławiec;M;Bolesławiec;2;3;Szkoła podstawowa;1;PRYWATNA SZKOŁA PODSTAWOWA OXPRESS;;TYRANKIEWICZÓW;22;59-700;BOLESŁAWIEC;757325055;;www.oxpress.edu.pl;2;1;100;100;31;Oxpress Sp. z o.o.;2;1;1;M;1;Gmina Bolesławiec (miejska);2;1;1;2,20E+12;268;121;0;0;18;7;9;5,48;oxpressdm@gmail.com;31229;2,20E+12;15.5693486;51.2590819
12668;264892;2;1;1;WOJ. DOLNOŚLĄSKIE;Powiat bolesławiecki;Bolesławiec;M;Bolesławiec;2;3;Szkoła podstawowa;1;Prywatna Szkoła Podstawowa z Oddziałami Przysposabiającymi do Pracy w Bolesławcu;;Marcina Opitza;11;59-700;Bolesławiec;757327960;;www.aurelus.edu.pl;2;1;100;100;33;Marzanna Izabela Słotwińska;2;1;1;M;1;Gmina Bolesławiec (miejska);2;1;1;3,68E+13;32;5;0;16;3;1;13;4,77;kontakt@aurelus.edu.pl;264892;3,68E+13;15.567162826263445;51.25853285
12699;262666;2;2;1;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Bielawa;M;Bielawa;2;3;Szkoła podstawowa;1;EUROPEJSKA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI PRZYSPOSABIAJĄCYMI DO PRACY W BIELAWIE;;WOLNOŚCI;105;58-260;BIELAWA;748331377;748337777;WWW.MICHALSKA.PL;2;1;100;100;33;DARIA MICHALSKA;2;2;1;M;1;Gmina Bielawa (miejska);2;2;1;3,68E+13;74;19;0;39;4;1;15;1,95;CENTRUMP@VP.PL;262666;3,68E+13;16.622126491782534;50.689060549999994
12700;267725;2;2;1;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Bielawa;M;Bielawa;2;3;Szkoła podstawowa;1;NIEPUBLICZNA SZKOŁA PODSTAWOWA AUXILIUM W BIELAWIE;;PIASTOWSKA;18/s1;58-260;BIELAWA;746461722;746461722;www.szkolabielawa.pl;2;1;100;100;33;ANNA SALIJ-SZYSZKA;2;2;1;M;1;Gmina Bielawa (miejska);2;2;1;3,81E+13;10;4;0;0;4;1;12;3,24;szkola.bielawa@wp.pl;267725;3,81E+13;16.6094994;50.6825749
12701;112051;2;2;1;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Bielawa;M;Bielawa;2;3;Szkoła podstawowa;1;Społeczna Szkoła Podstawowa STO;;Żeromskiego;1;58-260;Bielawa;748333870;748333870;spoleczna.bielawa.pl;2;1;100;100;22;SKT nr 92 STO;2;2;1;M;1;Gmina Bielawa (miejska);2;2;1;2,21E+12;127;65;16;0;10;11;12;5,83;bielawa@sto.org.pl;112051;2,21E+12;16.640704642472343;50.69717585
12702;262677;2;2;1;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Bielawa;M;Bielawa;2;3;Szkoła podstawowa;2;Szkoła Podstawowa z Oddziałami Przysposabiającymi do Pracy Cechu Rzemiosł Różnych i Małej Przedsiębiorczości;;Polna;2;58-260;Bielawa;748332116;748332116;www.zsz-cech-bielawa.pl;2;1;100;100;22;Cech Rzemiosł Różnych i Małej Przedsiębiorczości;2;2;1;M;1;Gmina Bielawa (miejska);2;2;1;3,68E+13;13;6;0;0;1;0;0;0;zszc.bielawa@wp.pl;119974;2,23E+12;16.601913738465125;50.674456
12708;131306;2;2;2;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Dzierżoniów;M;Dzierżoniów;2;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa im. Janusza Korczaka;;Garncarska;3;58-200;Dzierżoniów;600904492;;;2;1;100;100;33;Jacek Prysak;2;2;2;M;1;Gmina Dzierżoniów (miejska);2;2;2;3,65E+13;41;15;0;0;7;8;15;4,5;szkola.korczak@wp.pl;131306;3,65E+13;16.65052339630777;50.7299778
12709;85191;2;2;2;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Dzierżoniów;M;Dzierżoniów;2;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa Sióstr Salezjanek im. bł. Laury Vicuna;bł. Laura Vicuna;WROCŁAWSKA;51;58-200;DZIERŻONIÓW;748367027;748367027;www.szkolasalezjanki.pl;2;1;100;100;28;ZGROMADZENIE CÓREK MARYI WSPOMOŻYCIELKI WROCŁAW;2;64;1;M;1;Gmina Dzierżoniów (miejska);2;2;2;2,20E+12;190;99;0;32;13;22;5;1,9;sekretariat@szkolasalezjanki.pl;85191;2,20E+12;16.6579828474015;50.735892
12711;5576;2;2;3;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Pieszyce;M-Gm;Pieszyce;2;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa z Oddziałami Przedszkolnymi;;Świdnicka;53;58-250;Pieszyce;748365394;748365394;www.nauczycieledzieciom.pl;2;1;100;100;22;Stowarzyszenie Nauczyciele Dzieciom;2;2;3;M-Gm;1;Gmina Pieszyce (miejsko-wiejska);2;2;3;2,19E+12;125;66;33;0;10;11;8;2,65;nsp.pieszyce@op.pl;5576;2,19E+12;16.5972884;50.7263173
